"Augmented_SMILES,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar",J_Total_flux_kg_m_2h_1
FC(F)(F)C(c1ccc(cc1)-c1nc2ccc(-c3ccc4c(c3)oc(C)n4)cc2o1)(C(F)(F)F)c1ccc(C)cc1.C(O)C|82.0|24.24|ethanol|26.5|5.0|25|1.0|,0.0324
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCCCO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
c1c(C)ccc(c1)C(C(F)(F)F)(c1ccc(cc1)-c1oc2cc(-c3ccc4nc(oc4c3)C)ccc2n1)C(F)(F)F.OCCCC|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
c1c(ccc(C(C(F)(F)F)(c2ccc(-c3oc4c(ccc(c4)-c4ccc5nc(C)oc5c4)n3)cc2)C(F)(F)F)c1)C.C(O)CCC|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
Cc1oc2cc(-c3ccc4c(c3)oc(n4)-c3ccc(C(C(F)(F)F)(c4ccc(cc4)C)C(F)(F)F)cc3)ccc2n1.C(CCO)C|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
c1c(cc2oc(nc2c1)C)-c1cc2c(nc(o2)-c2ccc(C(C(F)(F)F)(c3ccc(C)cc3)C(F)(F)F)cc2)cc1.C(CO)CC|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
c1cc(ccc1C(c1ccc(C)cc1)(C(F)(F)F)C(F)(F)F)-c1nc2ccc(-c3cc4c(nc(o4)C)cc3)cc2o1.C(CC)CO|82.0|24.24|n-butanol|23.1|15.0|25|1.0|,0.0345
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
c1(C(C(F)(F)F)(C(F)(F)F)c2ccc(cc2)C)ccc(cc1)-c1oc2cc(ccc2n1)-c1cc2oc(nc2cc1)C.OC(C)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
C(F)(C(c1ccc(C)cc1)(c1ccc(cc1)-c1nc2c(cc(cc2)-c2cc3oc(C)nc3cc2)o1)C(F)(F)F)(F)F.CC(O)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
c1(ccc(cc1)C(C(F)(F)F)(c1ccc(cc1)C)C(F)(F)F)-c1oc2cc(ccc2n1)-c1ccc2c(c1)oc(n2)C.C(C)(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
C(F)(F)(C(c1ccc(cc1)-c1nc2c(o1)cc(cc2)-c1cc2c(cc1)nc(o2)C)(c1ccc(cc1)C)C(F)(F)F)F.C(O)(C)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
o1c(-c2ccc(cc2)C(C(F)(F)F)(c2ccc(C)cc2)C(F)(F)F)nc2ccc(cc21)-c1cc2c(nc(C)o2)cc1.C(C)(O)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0374
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCO|82.0|24.24|ethanol|26.5|10.0|25|1.0|,0.046
c1cc2nc(C)oc2cc1-c1ccc2nc(-c3ccc(C(c4ccc(cc4)C)(C(F)(F)F)C(F)(F)F)cc3)oc2c1.C(C)O|82.0|24.24|ethanol|26.5|10.0|25|1.0|,0.046
c1(nc2ccc(cc2o1)-c1cc2c(cc1)nc(-c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(C)cc1)o2)C.C(O)C|82.0|24.24|ethanol|26.5|10.0|25|1.0|,0.046
c1(cc2oc(C)nc2cc1)-c1ccc2nc(-c3ccc(cc3)C(c3ccc(C)cc3)(C(F)(F)F)C(F)(F)F)oc2c1.OCC|82.0|24.24|ethanol|26.5|10.0|25|1.0|,0.046
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
FC(C(c1ccc(cc1)C)(c1ccc(-c2oc3cc(-c4cc5c(nc(o5)C)cc4)ccc3n2)cc1)C(F)(F)F)(F)F.C(O)(C)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
c12cc(-c3cc4oc(-c5ccc(cc5)C(c5ccc(cc5)C)(C(F)(F)F)C(F)(F)F)nc4cc3)ccc2nc(C)o1.C(C)(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
c1c2oc(nc2ccc1-c1cc2oc(nc2cc1)C)-c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C.OC(C)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
c1c(ccc(c1)C(C(F)(F)F)(c1ccc(-c2oc3c(ccc(-c4cc5oc(nc5cc4)C)c3)n2)cc1)C(F)(F)F)C.CC(O)C|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCO|82.0|24.24|ethanol|26.5|15.0|25|1.0|,0.0836
FC(F)(F)C(c1ccc(C)cc1)(C(F)(F)F)c1ccc(cc1)-c1oc2c(n1)ccc(-c1cc3oc(C)nc3cc1)c2.C(C)O|82.0|24.24|ethanol|26.5|15.0|25|1.0|,0.0836
FC(F)(F)C(c1ccc(C)cc1)(c1ccc(cc1)-c1oc2cc(ccc2n1)-c1cc2oc(C)nc2cc1)C(F)(F)F.OCC|82.0|24.24|ethanol|26.5|15.0|25|1.0|,0.0836
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O|82.0|24.24|ipa|23.5|10.0|60|1.0|,0.0846
c1c(-c2cc3oc(nc3cc2)C)ccc2c1oc(-c1ccc(C(c3ccc(cc3)C)(C(F)(F)F)C(F)(F)F)cc1)n2.CC(O)C|82.0|24.24|ipa|23.5|10.0|60|1.0|,0.0846
n1c(C)oc2cc(ccc21)-c1cc2oc(nc2cc1)-c1ccc(cc1)C(C(F)(F)F)(c1ccc(cc1)C)C(F)(F)F.C(O)(C)C|82.0|24.24|ipa|23.5|10.0|60|1.0|,0.0846
c1cc(cc2c1nc(o2)C)-c1ccc2c(oc(n2)-c2ccc(C(C(F)(F)F)(C(F)(F)F)c3ccc(C)cc3)cc2)c1.C(C)(O)C|82.0|24.24|ipa|23.5|10.0|60|1.0|,0.0846
o1c2cc(-c3cc4oc(-c5ccc(C(C(F)(F)F)(c6ccc(cc6)C)C(F)(F)F)cc5)nc4cc3)ccc2nc1C.OC(C)C|82.0|24.24|ipa|23.5|10.0|60|1.0|,0.0846
FC(F)(F)C(c1ccc(cc1)C)(C(F)(F)F)c1ccc(-c2nc3c(o2)cc(cc3)-c2ccc3c(oc(C)n3)c2)cc1.C(C)(C)O|82.0|24.24|ipa|23.5|10.0|60|1.0|,0.0846
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CC(C)O|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
FC(F)(F)C(c1ccc(cc1)C)(C(F)(F)F)c1ccc(-c2oc3cc(-c4cc5oc(C)nc5cc4)ccc3n2)cc1.OC(C)C|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
c1c(-c2cc3oc(nc3cc2)-c2ccc(C(c3ccc(C)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc2oc(C)nc2c1.C(O)(C)C|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
c1(ccc2nc(C)oc2c1)-c1ccc2c(oc(n2)-c2ccc(cc2)C(C(F)(F)F)(C(F)(F)F)c2ccc(cc2)C)c1.CC(O)C|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
c12oc(-c3ccc(C(C(F)(F)F)(c4ccc(C)cc4)C(F)(F)F)cc3)nc2ccc(-c2cc3oc(C)nc3cc2)c1.C(C)(O)C|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
c1cc(C)ccc1C(C(F)(F)F)(c1ccc(-c2oc3c(n2)ccc(-c2cc4c(nc(o4)C)cc2)c3)cc1)C(F)(F)F.C(C)(C)O|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCO|84.0|24.11|ethanol|26.5|15.0|25|1.0|,0.0801
C(c1ccc(cc1)C)(C(F)(F)F)(c1ccc(cc1)-c1nc2ccc(-c3ccc4nc(oc4c3)C)cc2o1)C(F)(F)F.C(O)C|84.0|24.11|ethanol|26.5|15.0|25|1.0|,0.0801
c1cc(ccc1C(C(F)(F)F)(c1ccc(cc1)-c1oc2cc(ccc2n1)-c1cc2c(cc1)nc(C)o2)C(F)(F)F)C.OCC|84.0|24.11|ethanol|26.5|15.0|25|1.0|,0.0801
c1(ccc(cc1)-c1nc2ccc(cc2o1)-c1cc2oc(C)nc2cc1)C(c1ccc(C)cc1)(C(F)(F)F)C(F)(F)F.C(C)O|84.0|24.11|ethanol|26.5|15.0|25|1.0|,0.0801
FC(F)(F)C(c1ccc(C)cc1)(c6ccc(c5nc4ccc(c3ccc2nc(C)oc2c3)cc4o5)cc6)C(F)(F)F.CCO|90.0|23.35|ethanol|26.5|15.0|25|1.0|,0.0622
FC(F)(F)C(c1ccc(cc1)-c1nc2ccc(-c3cc4oc(C)nc4cc3)cc2o1)(C(F)(F)F)c1ccc(C)cc1.OCC|90.0|23.35|ethanol|26.5|15.0|25|1.0|,0.0622
c1(-c2ccc(cc2)C(C(F)(F)F)(C(F)(F)F)c2ccc(C)cc2)oc2cc(ccc2n1)-c1ccc2nc(C)oc2c1.C(O)C|90.0|23.35|ethanol|26.5|15.0|25|1.0|,0.0622
c1cc(ccc1C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C)-c1oc2c(ccc(c2)-c2cc3oc(C)nc3cc2)n1.C(C)O|90.0|23.35|ethanol|26.5|15.0|25|1.0|,0.0622
Cc2ccc(Cc1ccc(C)cc1)cc2.Cc1cc(C)ccc1n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O.CC(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
c1cc(ccc1Cc1ccc(cc1)C)C.C1(c2c(cc(cc2)C(c2cc3C(=O)N(c4c(cc(cc4)C)C)C(=O)c3cc2)=O)C(=O)N1C)=O.C(C)(O)C|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
c1cc(C)ccc1Cc1ccc(C)cc1.c1(cc(ccc1N1C(c2ccc(cc2C1=O)C(c1ccc2c(c1)C(=O)N(C2=O)C)=O)=O)C)C.OC(C)C|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
c1(ccc(C)cc1)Cc1ccc(cc1)C.C1(c2c(ccc(C(c3ccc4c(C(=O)N(C4=O)C)c3)=O)c2)C(N1c1ccc(cc1C)C)=O)=O.C(C)(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
Cc1ccc(Cc2ccc(C)cc2)cc1.c1c(C)cc(C)c(c1)N1C(c2c(C1=O)ccc(C(=O)c1ccc3C(=O)N(C(=O)c3c1)C)c2)=O.CC(O)C|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
Cc2ccc(Cc1ccc(C)cc1)cc2.Cc1cc(C)ccc1n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O.CC(C)O|82.3|39.0|ipa|23.5|15.0|80|5.0|,0.0256
c1c(ccc(C)c1)Cc1ccc(cc1)C.c1(C(c2ccc3c(C(=O)N(C3=O)C)c2)=O)ccc2C(N(C(c2c1)=O)c1ccc(C)cc1C)=O.OC(C)C|82.3|39.0|ipa|23.5|15.0|80|5.0|,0.0256
Cc1ccc(Cc2ccc(C)cc2)cc1.O=C(c1cc2c(C(N(C2=O)C)=O)cc1)c1ccc2c(C(N(C2=O)c2c(cc(cc2)C)C)=O)c1.C(C)(O)C|82.3|39.0|ipa|23.5|15.0|80|5.0|,0.0256
